Timestamp,Latitude,Longitude,#Units,Police,Priority,Service Time
2014-09-26 00:00:00-05:00,41.891236775,-87.68670947,1,0,3,0 days 00:19:00
2014-09-26 00:00:00-05:00,41.790065983000005,-87.648696249,2,0,3,0 days 00:25:00
2014-09-26 00:00:00-05:00,41.918840187,-87.739385094,2,0,3,0 days 00:19:00
2014-09-26 00:00:00-05:00,41.953918159000004,-87.778028643,2,0,3,0 days 00:20:00
2014-09-26 00:00:00-05:00,41.791265806,-87.66087263700001,2,1,1,0 days 00:15:00
2014-09-26 00:01:00-05:00,41.792974653,-87.72315172299999,2,0,3,0 days 00:29:00
2014-09-26 00:01:00-05:00,41.692876533,-87.601968339,1,0,3,0 days 00:25:00
2014-09-26 00:01:00-05:00,42.000423987,-87.691175183,2,1,2,0 days 00:22:00
2014-09-26 00:01:00-05:00,41.698656206,-87.648300829,2,0,3,0 days 00:29:00
2014-09-26 00:01:00-05:00,41.814377178,-87.604476134,2,0,3,0 days 00:30:00
2014-09-26 00:01:00-05:00,41.991076004,-87.78918262200001,2,0,3,0 days 00:29:00
2014-09-26 00:01:00-05:00,41.66816308,-87.640385489,2,0,3,0 days 00:22:00
2014-09-26 00:01:00-05:00,41.861933787,-87.72749284700001,2,1,2,0 days 00:20:00
2014-09-26 00:01:00-05:00,41.88569696,-87.644833747,3,1,2,0 days 00:23:00
2014-09-26 00:01:00-05:00,41.880385844,-87.73056472799999,3,1,2,0 days 00:30:00
2014-09-26 00:01:00-05:00,41.690382783000004,-87.655367009,3,1,2,0 days 00:21:00
2014-09-26 00:01:00-05:00,41.703871086999996,-87.700089054,2,0,3,0 days 00:28:00
2014-09-26 00:01:00-05:00,41.786340899,-87.697697798,1,0,3,0 days 00:21:00
2014-09-26 00:01:00-05:00,41.736458248000005,-87.585638764,2,0,3,0 days 00:24:00
2014-09-26 00:04:00-05:00,41.880658696,-87.731311277,2,0,3,0 days 00:22:00
2014-09-26 00:05:00-05:00,41.897723948,-87.73108123600001,2,1,2,0 days 00:21:00
2014-09-26 00:05:00-05:00,41.782887908,-87.588850456,1,0,3,0 days 00:23:00
2014-09-26 00:06:00-05:00,41.736345716,-87.585636406,2,1,2,0 days 00:22:00
2014-09-26 00:09:00-05:00,41.704885986,-87.62345693799999,1,0,3,0 days 00:24:00
2014-09-26 00:10:00-05:00,41.765552461,-87.57628748399999,2,1,2,0 days 00:19:00
2014-09-26 00:10:00-05:00,41.755633716999995,-87.644173224,2,0,3,0 days 00:21:00
2014-09-26 00:10:00-05:00,41.772898086,-87.57159300000001,2,1,1,0 days 00:28:00
2014-09-26 00:10:00-05:00,41.837431392,-87.64260643600001,2,1,2,0 days 00:23:00
2014-09-26 00:15:00-05:00,41.825983523000005,-87.67028732600001,2,1,1,0 days 00:27:00
