Timestamp,Latitude,Longitude,#Units,Police,Priority,Service Time
2014-04-11 00:00:00-05:00,41.73413863,-87.58806909200001,2,0,3,0 days 00:16:00
2014-04-11 00:00:00-05:00,41.993670822,-87.67715398200001,2,1,2,0 days 00:24:00
2014-04-11 00:00:00-05:00,41.889453169,-87.62799483299999,2,0,3,0 days 00:30:00
2014-04-11 00:00:00-05:00,41.769014078000005,-87.57270934700001,3,1,2,0 days 00:18:00
2014-04-11 00:01:00-05:00,41.996894748,-87.79757223899999,2,0,3,0 days 00:27:00
2014-04-11 00:01:00-05:00,41.980371411,-87.6636678,2,1,2,0 days 00:24:00
2014-04-11 00:01:00-05:00,41.933762443,-87.658753096,2,1,2,0 days 00:24:00
2014-04-11 00:01:00-05:00,41.86194419,-87.627886089,2,0,3,0 days 00:17:00
2014-04-11 00:01:00-05:00,41.872274452,-87.76458166399999,1,0,3,0 days 00:24:00
2014-04-11 00:01:00-05:00,41.853418450999996,-87.73064180799999,3,1,2,0 days 00:19:00
2014-04-11 00:01:00-05:00,41.800403496,-87.59976036,2,0,3,0 days 00:28:00
2014-04-11 00:01:00-05:00,41.98325933,-87.729661588,1,0,3,0 days 00:21:00
2014-04-11 00:01:00-05:00,41.996866019,-87.655592844,3,1,2,0 days 00:27:00
2014-04-11 00:01:00-05:00,41.971622879,-87.75233201200001,2,0,3,0 days 00:22:00
2014-04-11 00:04:00-05:00,41.879148115,-87.740567984,2,0,3,0 days 00:23:00
2014-04-11 00:05:00-05:00,41.765194449,-87.64502029,2,0,3,0 days 00:19:00
2014-04-11 00:10:00-05:00,41.879148115,-87.740567984,1,0,3,0 days 00:20:00
2014-04-11 00:10:00-05:00,41.767747461,-87.683324967,1,0,3,0 days 00:22:00
2014-04-11 00:11:00-05:00,41.879148115,-87.740567984,2,0,3,0 days 00:30:00
2014-04-11 00:12:00-05:00,41.836860505,-87.72613309799999,2,0,3,0 days 00:21:00
2014-04-11 00:15:00-05:00,41.913270227,-87.772851751,2,0,3,0 days 00:23:00
2014-04-11 00:15:00-05:00,41.883330195,-87.764964695,2,1,2,0 days 00:25:00
2014-04-11 00:18:00-05:00,41.879148115,-87.740567984,2,0,3,0 days 00:31:00
2014-04-11 00:24:10-05:00,41.89801957217661,-87.70796391286821,3,1,1,0 days 00:34:00
2014-04-11 00:26:00-05:00,41.901729931999995,-87.726275604,2,0,3,0 days 00:18:00
2014-04-11 00:30:00-05:00,41.968769847,-87.678093554,1,0,3,0 days 00:27:00
2014-04-11 00:30:00-05:00,41.935843911,-87.72584193600001,3,1,2,0 days 00:22:00
2014-04-11 00:30:00-05:00,41.770575117,-87.649926311,2,0,3,0 days 00:31:00
2014-04-11 00:30:00-05:00,41.890032024,-87.630203077,2,0,3,0 days 00:22:00
2014-04-11 00:32:00-05:00,41.879148115,-87.740567984,1,0,3,0 days 00:19:00
2014-04-11 00:35:00-05:00,41.879148115,-87.740567984,2,0,3,0 days 00:20:00
2014-04-11 00:40:00-05:00,41.879148115,-87.740567984,1,0,3,0 days 00:26:00
2014-04-11 00:40:00-05:00,41.689795026,-87.6288255,2,0,3,0 days 00:23:00
2014-04-11 00:45:00-05:00,41.685566174,-87.650680237,1,0,3,0 days 00:24:00
2014-04-11 00:45:00-05:00,41.901354159,-87.72995615,1,0,3,0 days 00:26:00
2014-04-11 00:45:00-05:00,41.879148115,-87.740567984,2,0,3,0 days 00:18:00
2014-04-11 00:45:00-05:00,41.929355052,-87.64029267299999,2,1,1,0 days 00:24:00
2014-04-11 00:50:00-05:00,41.654538166,-87.542302867,1,0,3,0 days 00:17:00
2014-04-11 00:55:00-05:00,41.879148115,-87.740567984,1,0,3,0 days 00:25:00
2014-04-11 00:58:00-05:00,41.879148115,-87.740567984,2,0,3,0 days 00:21:00
2014-04-11 00:59:00-05:00,41.785997185,-87.71926883100001,2,1,1,0 days 00:24:00
2014-04-11 01:00:00-05:00,41.829260387,-87.696018526,3,1,2,0 days 00:19:00
2014-04-11 01:00:00-05:00,41.8190075,-87.639605446,3,1,2,0 days 00:24:00
2014-04-11 01:00:00-05:00,41.922561045,-87.78053841,3,1,2,0 days 00:18:00
2014-04-11 01:00:00-05:00,41.812231403,-87.742062061,3,1,2,0 days 00:21:00
2014-04-11 01:00:00-05:00,41.883330195,-87.764964695,1,0,3,0 days 00:20:00
2014-04-11 01:00:00-05:00,41.748020375,-87.57190549,1,0,3,0 days 00:21:00
2014-04-11 01:05:00-05:00,41.879148115,-87.740567984,2,0,3,0 days 00:18:00
2014-04-11 01:10:00-05:00,41.879148115,-87.740567984,2,0,3,0 days 00:19:00
2014-04-11 01:10:00-05:00,41.778877155,-87.70884010600001,1,0,3,0 days 00:19:00
2014-04-11 01:15:00-05:00,41.807851238000005,-87.72518567799999,2,0,3,0 days 00:21:00
2014-04-11 01:18:00-05:00,41.841796081999995,-87.73056372100001,1,0,3,0 days 00:27:00
2014-04-11 01:19:00-05:00,42.002799363,-87.660794724,2,1,1,0 days 00:24:00
2014-04-11 01:20:00-05:00,41.879148115,-87.740567984,2,0,3,0 days 00:25:00
2014-04-11 01:28:00-05:00,41.879148115,-87.740567984,1,0,3,0 days 00:22:00
2014-04-11 01:30:00-05:00,41.945688581999995,-87.649437757,1,0,3,0 days 00:28:00
2014-04-11 01:47:00-05:00,41.896035833,-87.71755104299999,2,1,2,0 days 00:31:00
2014-04-11 01:55:00-05:00,41.732734999,-87.60715476,2,0,3,0 days 00:22:00
2014-04-11 02:00:00-05:00,41.744026449,-87.659636225,2,1,2,0 days 00:21:00
2014-04-11 02:00:00-05:00,41.801454751,-87.619391989,2,0,3,0 days 00:17:00
2014-04-11 02:00:00-05:00,41.924998531,-87.648743777,2,0,3,0 days 00:22:00
2014-04-11 02:00:00-05:00,41.738636315,-87.670435468,2,1,2,0 days 00:26:00
2014-04-11 02:00:00-05:00,41.927068496,-87.72440383600001,3,1,2,0 days 00:24:00
2014-04-11 02:10:00-05:00,41.761034113,-87.649158884,1,0,3,0 days 00:25:00
2014-04-11 02:15:00-05:00,41.896375946,-87.6242787,3,1,2,0 days 00:20:00
2014-04-11 02:22:00-05:00,41.934554452,-87.71459698299999,2,1,1,0 days 00:21:00
2014-04-11 02:25:00-05:00,41.922818144000004,-87.758566075,2,1,2,0 days 00:24:00
2014-04-11 02:25:00-05:00,41.922873045,-87.758569257,3,1,2,0 days 00:18:00
2014-04-11 02:27:00-05:00,41.996383513000005,-87.659401809,1,0,3,0 days 00:29:00
2014-04-11 02:30:00-05:00,41.877941953000004,-87.647623234,1,0,3,0 days 00:25:00
2014-04-11 02:35:00-05:00,41.873632939000004,-87.75743912600001,3,1,2,0 days 00:21:00
2014-04-11 02:40:00-05:00,41.871578159,-87.733445249,1,0,3,0 days 00:21:00
2014-04-11 02:51:00-05:00,41.893676531,-87.635628328,2,0,3,0 days 00:20:00
2014-04-11 03:00:00-05:00,41.882221858,-87.652046555,3,1,1,0 days 00:21:00
