Timestamp,Latitude,Longitude,#Units,Police,Priority,Service Time
2014-01-19 00:00:00-06:00,41.884097895,-87.68651337799999,2,0,3,0 days 00:24:00
2014-01-19 00:00:00-06:00,41.743049887,-87.664875346,2,1,2,0 days 00:21:00
2014-01-19 00:00:00-06:00,41.945863308,-87.80823701899999,3,1,2,0 days 00:28:00
2014-01-19 00:00:00-06:00,41.889619655,-87.774960971,2,0,3,0 days 00:22:00
2014-01-19 00:01:00-06:00,41.906659286,-87.63694908,2,0,3,0 days 00:17:00
2014-01-19 00:01:00-06:00,41.845094598,-87.64281028200001,2,0,3,0 days 00:23:00
2014-01-19 00:01:00-06:00,41.885503844,-87.62793544799999,2,0,3,0 days 00:20:00
2014-01-19 00:01:00-06:00,41.993122381999996,-87.677704046,1,0,3,0 days 00:29:00
2014-01-19 00:01:00-06:00,41.768056035,-87.56894500899999,2,0,3,0 days 00:19:00
2014-01-19 00:01:00-06:00,41.919127267,-87.715774848,2,1,2,0 days 00:21:00
2014-01-19 00:01:00-06:00,41.881887475,-87.721840162,1,0,3,0 days 00:22:00
2014-01-19 00:01:00-06:00,41.942024436,-87.649333564,3,1,2,0 days 00:21:00
2014-01-19 00:01:00-06:00,41.909127682,-87.69329600200001,3,1,2,0 days 00:27:00
2014-01-19 00:02:00-06:00,41.80672208,-87.67134792700001,1,0,3,0 days 00:22:00
2014-01-19 00:03:00-06:00,41.896807726999995,-87.74921268899999,3,1,1,0 days 00:19:00
2014-01-19 00:14:00-06:00,41.779056198,-87.697454437,1,0,3,0 days 00:25:00
2014-01-19 00:15:00-06:00,41.930210791,-87.773500946,2,0,3,0 days 00:24:00
2014-01-19 00:15:00-06:00,41.969046206,-87.658064717,2,0,3,0 days 00:21:00
2014-01-19 00:15:00-06:00,41.872515018,-87.66269464,1,0,3,0 days 00:27:00
2014-01-19 00:19:00-06:00,41.78894435,-87.70955279100001,1,0,3,0 days 00:19:00
2014-01-19 00:20:00-06:00,41.972843519,-87.77096176299999,1,0,3,0 days 00:27:00
2014-01-19 00:25:00-06:00,41.863472388000005,-87.72265444,1,0,3,0 days 00:30:00
2014-01-19 00:27:00-06:00,42.005255827,-87.69007432,2,0,3,0 days 00:21:00
2014-01-19 00:28:00-06:00,41.773959385,-87.66825719,2,0,3,0 days 00:38:00
2014-01-19 00:30:00-06:00,41.894266947,-87.63119238600001,1,0,3,0 days 00:27:00
2014-01-19 00:30:00-06:00,41.744883068,-87.613540464,3,1,2,0 days 00:28:00
2014-01-19 00:30:00-06:00,41.894760587,-87.63654578,1,0,3,0 days 00:25:00
2014-01-19 00:30:00-06:00,41.910239494,-87.694846269,1,0,3,0 days 00:22:00
2014-01-19 00:30:00-06:00,41.854375038,-87.67590386299999,2,1,2,0 days 00:25:00
2014-01-19 00:32:00-06:00,41.763032955,-87.66896749899999,2,1,1,0 days 00:40:00
2014-01-19 00:40:00-06:00,41.812716112,-87.704157314,3,1,1,0 days 00:20:00
2014-01-19 00:46:00-06:00,41.953177006,-87.767307661,2,0,3,0 days 00:24:00
