,assigned_district,#Beats,#Officers,officers/beat,per_shift
1.0,1,11,277.0,25.0,8.0
2.0,2,15,343.0,23.0,8.0
3.0,3,12,371.0,31.0,10.0
4.0,4,12,332.0,28.0,9.0
5.0,5,9,340.0,38.0,13.0
6.0,6,12,345.0,29.0,10.0
7.0,7,15,430.0,29.0,10.0
8.0,8,15,367.0,24.0,8.0
9.0,9,15,335.0,22.0,7.0
10.0,10,12,353.0,29.0,10.0
11.0,11,15,409.0,27.0,9.0
12.0,12,15,332.0,22.0,7.0
14.0,14,12,213.0,18.0,6.0
15.0,15,9,342.0,38.0,13.0
16.0,16,17,237.0,14.0,5.0
17.0,17,9,202.0,22.0,7.0
18.0,18,12,296.0,25.0,8.0
19.0,19,15,356.0,24.0,8.0
20.0,20,9,208.0,23.0,8.0
22.0,22,9,245.0,27.0,9.0
24.0,24,9,244.0,27.0,9.0
25.0,25,15,324.0,22.0,7.0
