DISTRICT,ADDRESS,CITY,STATE,ZIP,WEBSITE,LOCATION
1,1718 S State St,Chicago,IL,60616,http://home.chicagopolice.org/community/districts/1st-district-central/,"(41.8583725929, -87.627356171)"
6,7808 S Halsted St,Chicago,IL,60620,http://home.chicagopolice.org/community/districts/6th-district-gresham/,"(41.7521368378, -87.6442289066)"
11,3151 W Harrison St,Chicago,IL,60612,http://home.chicagopolice.org/community/districts/11th-district-harrison/,"(41.8735822883, -87.705488126)"
16,5151 N Milwaukee Ave,Chicago,IL,60630,http://home.chicagopolice.org/community/districts/16th-district-jefferson-park/,"(41.9740944511, -87.7661488432)"
Headquarters,3510 S Michigan Ave,Chicago,IL,60653,http://home.chicagopolice.org,"(41.8307016873, -87.6233953459)"
24,6464 N Clark St,Chicago,IL,60626,http://home.chicagopolice.org/community/districts/24th-district-rogers-park/,"(41.9997634842, -87.6713242922)"
2,5101 S Wentworth Ave,Chicago,IL,60609,http://home.chicagopolice.org/community/districts/2nd-district-wentworth/,"(41.8018110912, -87.6305601801)"
7,1438 W 63rd St,Chicago,IL,60636,http://home.chicagopolice.org/community/districts/7th-district-englewood/,"(41.7796315359, -87.6608870173)"
25,5555 W Grand Ave,Chicago,IL,60639,http://home.chicagopolice.org/community/districts/25th-district-grand-central/,"(41.9186088912, -87.765574479)"
10,3315 W Ogden Ave,Chicago,IL,60623,http://home.chicagopolice.org/community/districts/10th-district-ogden/,"(41.8566845327, -87.708381958)"
15,5701 W Madison St,Chicago,IL,60644,http://home.chicagopolice.org/community/districts/15th-district-austin/,"(41.8800834614, -87.768199889)"
3,7040 S Cottage Grove Ave,Chicago,IL,60637,http://home.chicagopolice.org/community/districts/3rd-district-grand-crossing/,"(41.7664308925, -87.6057478606)"
14,2150 N California Ave,Chicago,IL,60647,http://home.chicagopolice.org/community/districts/14th-district-shakespeare/,"(41.9211033246, -87.6974518223)"
8,3420 W 63rd St,Chicago,IL,60629,http://home.chicagopolice.org/community/districts/8th-district-chicago-lawn/,"(41.778987189, -87.7088638153)"
4,2255 E 103rd St,Chicago,IL,60617,http://home.chicagopolice.org/community/districts/4th-district-south-chicago/,"(41.7079332906, -87.5683491228)"
20,5400 N Lincoln Ave,Chicago,IL,60625,http://home.chicagopolice.org/community/districts/20th-district-lincoln/,"(41.9795495131, -87.6928445094)"
18,1160 N Larrabee St,Chicago,IL,60610,http://home.chicagopolice.org/community/districts/18th-district-near-north/,"(41.9032416531, -87.6433521393)"
12,"1412 S Blue Island Ave
",Chicago,IL,60608,http://home.chicagopolice.org/community/districts/12th-district-near-west/,"(41.8629766244, -87.6569725149)"
9,3120 S Halsted St,Chicago,IL,60608,http://home.chicagopolice.org/community/districts/9th-district-deering/,"(41.8373944311, -87.6464077068)"
22,1900 W Monterey Ave,Chicago,IL,60643,http://home.chicagopolice.org/community/districts/22nd-district-morgan-park/,"(41.6914347795, -87.6685203937)"
5,727 E 111th St,Chicago,IL,60628,http://home.chicagopolice.org/community/districts/5th-district-calumet/,"(41.6927233639, -87.6045058667)"
17,4650 N Pulaski Rd,Chicago,IL,60630,http://home.chicagopolice.org/community/districts/17th-district-albany-park/,"(41.9660534171, -87.728114561)"
19,850 W Addison St,Chicago,IL,60613,http://home.chicagopolice.org/community/districts/19th-district-town-hall/,"(41.9474004564, -87.651512018)"
